period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
FY2019-03,150A,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,2028.48,2028.48,,,,irbank_pl_comprehensive=2028.48,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2019-03,150A,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,93.2,93.2,,,,irbank_bs=93.2,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2019-03,150A,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,702,7.02億,,,,irbank_bs=702,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2019-03,150A,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,40,40百万,,,,irbank_pl_comprehensive=40,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2019-03,150A,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,27,27百万,,,,irbank_pl_comprehensive=27,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2019-03,150A,revenue,191,JPY_million,1,OK|ROUNDING|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,191,191,irbank_pl_comprehensive,192,1.92億,kabutan_fy10=191|irbank_pl_comprehensive=192,https://kabutan.jp/stock/finance?code=150A,https://irbank.net/E39184/results,2026-08-21T13:09:31.625544+09:00
FY2019-03,150A,roa,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,5.29,5.29,,,,irbank_pl_comprehensive=5.29,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2019-03,150A,total_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,753,7.53億,,,,irbank_bs=753,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2020-03,150A,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,-26770.91,-26770.91,,,,irbank_pl_comprehensive=-26770.91,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2020-03,150A,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,21.1,21.1,,,,irbank_bs=21.1,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2020-03,150A,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,176,1.76億,,,,irbank_bs=176,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2020-03,150A,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,-526,-526百万,,,,irbank_pl_comprehensive=-526,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2020-03,150A,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,-93,-93百万,,,,irbank_pl_comprehensive=-93,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2020-03,150A,revenue,723,JPY_million,1,OK|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,723,723,irbank_pl_comprehensive,723,7.23億,kabutan_fy10=723|irbank_pl_comprehensive=723,https://kabutan.jp/stock/finance?code=150A,https://irbank.net/E39184/results,2026-08-21T13:09:31.625544+09:00
FY2020-03,150A,total_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,836,8.36億,,,,irbank_bs=836,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
FY2021-03,150A,cash_equivalents,,JPY_million,1,SINGLE_SOURCE,irbank_cf,225,2.25億,,,,irbank_cf=225,https://irbank.net/E39184/results,,2026-08-21T13:09:31.625544+09:00
