period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
C2023-10_2024-06,5137,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,3.6,3.6,,,,kabutan_ytd3q=3.6,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2023-10_2024-06,5137,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,132,132,,,,kabutan_ytd3q=132,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2023-10_2024-06,5137,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,134,134,,,,kabutan_ytd3q=134,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2023-10_2024-06,5137,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,134,134,,,,kabutan_ytd3q=134,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2023-10_2024-06,5137,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,1596,"1,596",,,,kabutan_ytd3q=1596,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2024-10_2025-06,5137,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,4.2,4.2,,,,kabutan_ytd3q=4.2,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2024-10_2025-06,5137,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,157,157,,,,kabutan_ytd3q=157,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2024-10_2025-06,5137,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,259,259,,,,kabutan_ytd3q=259,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2024-10_2025-06,5137,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,243,243,,,,kabutan_ytd3q=243,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2024-10_2025-06,5137,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,2112,"2,112",,,,kabutan_ytd3q=2112,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,7.7,7.7,,,,kabutan_ytd3q=7.7,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,equity,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,1381,"1,381",,,,kabutan_bs=1381,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,equity_ratio,,pct,0.1,SINGLE_SOURCE,kabutan_bs,30.6,30.6,,,,kabutan_bs=30.6,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,interest_bearing_debt_ratio,,x,0.01,SINGLE_SOURCE,kabutan_bs,1.37,1.37,,,,kabutan_bs=1.37,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,287,287,,,,kabutan_ytd3q=287,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,309,309,,,,kabutan_ytd3q=309,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,303,303,,,,kabutan_ytd3q=303,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,retained_earnings,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,1005,"1,005",,,,kabutan_bs=1005,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,2882,"2,882",,,,kabutan_ytd3q=2882,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
C2025-10_2026-06,5137,total_assets,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,4515,"4,515",,,,kabutan_bs=4515,https://kabutan.jp/stock/finance?code=5137,,2026-08-31T01:24:49.228521+09:00
FY2017-09,5137,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_consolidated,-318.47,-318.47,,,,irbank_pl_consolidated=-318.47,https://irbank.net/E38205/results,,2026-08-31T01:24:49.228521+09:00
FY2017-09,5137,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,68.4,68.4,,,,irbank_bs=68.4,https://irbank.net/E38205/results,,2026-08-31T01:24:49.228521+09:00
FY2017-09,5137,net_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,440,4.4億,,,,irbank_bs=440,https://irbank.net/E38205/results,,2026-08-31T01:24:49.228521+09:00
