date,code,open,high,low,close,volume,status,source_primary,value_primary,source_secondary,value_secondary,fetched_at
2025-07-03,growth250,717.1,718.45,709.33,,286026500,SINGLE_SOURCE,kabutan,709.71,,,2026-08-12T14:26:15.916612+09:00
2025-07-04,growth250,714.05,717.22,710.59,,394644200,SINGLE_SOURCE,kabutan,710.59,,,2026-08-12T14:26:15.916612+09:00
2025-07-07,growth250,711.99,721.02,711.77,,530320100,SINGLE_SOURCE,kabutan,718.07,,,2026-08-12T14:26:15.916612+09:00
2025-07-08,growth250,719.08,732.31,719.08,,331347400,SINGLE_SOURCE,kabutan,732.29,,,2026-08-12T14:26:15.916612+09:00
2025-07-09,growth250,736.87,740.75,733.03,,370129800,SINGLE_SOURCE,kabutan,740.75,,,2026-08-12T14:26:15.916612+09:00
2025-07-10,growth250,744.65,751.35,742.12,,358914200,SINGLE_SOURCE,kabutan,751.35,,,2026-08-12T14:26:15.916612+09:00
2025-07-11,growth250,752.84,759.28,746.69,,328252800,SINGLE_SOURCE,kabutan,748.48,,,2026-08-12T14:26:15.916612+09:00
2025-07-14,growth250,748.15,752.06,745.09,,271026500,SINGLE_SOURCE,kabutan,747.5,,,2026-08-12T14:26:15.916612+09:00
2025-07-15,growth250,749.4,750.11,731.38,,395167900,SINGLE_SOURCE,kabutan,731.38,,,2026-08-12T14:26:15.916612+09:00
2025-07-16,growth250,730.43,737.65,726.83,,319682600,SINGLE_SOURCE,kabutan,734.74,,,2026-08-12T14:26:15.916612+09:00
2025-07-17,growth250,737.75,750.79,737.53,,287642300,SINGLE_SOURCE,kabutan,747.74,,,2026-08-12T14:26:15.916612+09:00
2025-07-18,growth250,750.28,751.46,737.52,,230034600,SINGLE_SOURCE,kabutan,738.11,,,2026-08-12T14:26:15.916612+09:00
2025-07-22,growth250,743.75,749.99,740.39,,213200500,SINGLE_SOURCE,kabutan,743.07,,,2026-08-12T14:26:15.916612+09:00
2025-07-23,growth250,748.97,757.82,747.54,,217461700,SINGLE_SOURCE,kabutan,756.9,,,2026-08-12T14:26:15.916612+09:00
2025-07-24,growth250,760.61,764.59,756.45,,297420600,SINGLE_SOURCE,kabutan,759.48,,,2026-08-12T14:26:15.916612+09:00
2025-07-25,growth250,759.72,762.53,757.68,,268800100,SINGLE_SOURCE,kabutan,762.29,,,2026-08-12T14:26:15.916612+09:00
2025-07-28,growth250,766.21,767.19,760.28,,297271000,SINGLE_SOURCE,kabutan,762.7,,,2026-08-12T14:26:15.916612+09:00
2025-07-29,growth250,760.87,761.81,749.1,,303312200,SINGLE_SOURCE,kabutan,751.02,,,2026-08-12T14:26:15.916612+09:00
2025-07-30,growth250,751.14,753.88,745.0,,342524700,SINGLE_SOURCE,kabutan,753.88,,,2026-08-12T14:26:15.916612+09:00
2025-07-31,growth250,755.7,760.32,753.95,,314362600,SINGLE_SOURCE,kabutan,760.32,,,2026-08-12T14:26:15.916612+09:00
2025-08-01,growth250,759.12,762.27,756.58,,252193400,SINGLE_SOURCE,kabutan,762.27,,,2026-08-12T14:26:15.916612+09:00
2025-08-04,growth250,751.31,764.24,751.31,,211218300,SINGLE_SOURCE,kabutan,762.45,,,2026-08-12T14:26:15.916612+09:00
2025-08-05,growth250,767.91,772.51,767.25,,257805300,SINGLE_SOURCE,kabutan,772.36,,,2026-08-12T14:26:15.916612+09:00
2025-08-06,growth250,773.4,776.44,769.17,,236482000,SINGLE_SOURCE,kabutan,771.88,,,2026-08-12T14:26:15.916612+09:00
2025-08-07,growth250,772.8,781.94,772.33,,283365000,SINGLE_SOURCE,kabutan,781.45,,,2026-08-12T14:26:15.916612+09:00
2025-08-08,growth250,783.03,784.62,779.15,,291349400,SINGLE_SOURCE,kabutan,780.53,,,2026-08-12T14:26:15.916612+09:00
2025-08-12,growth250,784.76,786.05,777.17,,336029800,SINGLE_SOURCE,kabutan,778.02,,,2026-08-12T14:26:15.916612+09:00
