date,code,open,high,low,close,volume,status,source_primary,value_primary,source_secondary,value_secondary,fetched_at
2025-07-03,topix,2825.46,2828.99,2816.21,,1988480000,SINGLE_SOURCE,kabutan,2828.99,,,2026-08-12T14:25:46.765409+09:00
2025-07-04,topix,2841.59,2843.77,2819.67,,1551020000,SINGLE_SOURCE,kabutan,2827.95,,,2026-08-12T14:25:46.765409+09:00
2025-07-07,topix,2827.16,2829.17,2807.57,,1349940000,SINGLE_SOURCE,kabutan,2811.72,,,2026-08-12T14:25:46.765409+09:00
2025-07-08,topix,2806.37,2820.58,2805.41,,2007510000,SINGLE_SOURCE,kabutan,2816.54,,,2026-08-12T14:25:46.765409+09:00
2025-07-09,topix,2831.5,2834.13,2818.73,,1981210000,SINGLE_SOURCE,kabutan,2828.16,,,2026-08-12T14:25:46.765409+09:00
2025-07-10,topix,2825.14,2825.14,2801.71,,2001840000,SINGLE_SOURCE,kabutan,2812.34,,,2026-08-12T14:25:46.765409+09:00
2025-07-11,topix,2827.13,2841.46,2817.09,,1864800000,SINGLE_SOURCE,kabutan,2823.24,,,2026-08-12T14:25:46.765409+09:00
2025-07-14,topix,2814.55,2832.63,2809.31,,1496040000,SINGLE_SOURCE,kabutan,2822.81,,,2026-08-12T14:25:46.765409+09:00
2025-07-15,topix,2834.21,2838.41,2818.19,,1576800000,SINGLE_SOURCE,kabutan,2825.31,,,2026-08-12T14:25:46.765409+09:00
2025-07-16,topix,2826.67,2829.83,2813.35,,1569370000,SINGLE_SOURCE,kabutan,2819.4,,,2026-08-12T14:25:46.765409+09:00
2025-07-17,topix,2816.25,2840.76,2811.82,,1607290000,SINGLE_SOURCE,kabutan,2839.81,,,2026-08-12T14:25:46.765409+09:00
2025-07-18,topix,2850.4,2851.08,2832.69,,1485350000,SINGLE_SOURCE,kabutan,2834.48,,,2026-08-12T14:25:46.765409+09:00
2025-07-22,topix,2839.07,2863.12,2821.66,,1683190000,SINGLE_SOURCE,kabutan,2836.19,,,2026-08-12T14:25:46.765409+09:00
2025-07-23,topix,2868.76,2937.71,2863.18,,3024050000,SINGLE_SOURCE,kabutan,2926.38,,,2026-08-12T14:25:46.765409+09:00
2025-07-24,topix,2954.97,2986.63,2950.98,,2208990000,SINGLE_SOURCE,kabutan,2977.55,,,2026-08-12T14:25:46.765409+09:00
2025-07-25,topix,2966.45,2971.29,2947.65,,1767540000,SINGLE_SOURCE,kabutan,2951.86,,,2026-08-12T14:25:46.765409+09:00
2025-07-28,topix,2954.6,2955.08,2930.01,,1716930000,SINGLE_SOURCE,kabutan,2930.73,,,2026-08-12T14:25:46.765409+09:00
2025-07-29,topix,2913.01,2913.09,2901.14,,1607400000,SINGLE_SOURCE,kabutan,2908.64,,,2026-08-12T14:25:46.765409+09:00
2025-07-30,topix,2911.41,2921.07,2905.19,,1976940000,SINGLE_SOURCE,kabutan,2920.18,,,2026-08-12T14:25:46.765409+09:00
2025-07-31,topix,2927.26,2946.62,2922.18,,2129740000,SINGLE_SOURCE,kabutan,2943.07,,,2026-08-12T14:25:46.765409+09:00
2025-08-01,topix,2944.45,2962.08,2937.15,,2219070000,SINGLE_SOURCE,kabutan,2948.65,,,2026-08-12T14:25:46.765409+09:00
2025-08-04,topix,2904.07,2917.95,2886.0,,2017870000,SINGLE_SOURCE,kabutan,2916.2,,,2026-08-12T14:25:46.765409+09:00
2025-08-05,topix,2928.83,2944.02,2923.73,,2131210000,SINGLE_SOURCE,kabutan,2936.54,,,2026-08-12T14:25:46.765409+09:00
2025-08-06,topix,2938.86,2971.04,2938.18,,2287610000,SINGLE_SOURCE,kabutan,2966.57,,,2026-08-12T14:25:46.765409+09:00
2025-08-07,topix,2963.23,2993.21,2962.94,,2382440000,SINGLE_SOURCE,kabutan,2987.92,,,2026-08-12T14:25:46.765409+09:00
2025-08-08,topix,3001.09,3038.84,3000.71,,2739590000,SINGLE_SOURCE,kabutan,3024.21,,,2026-08-12T14:25:46.765409+09:00
2025-08-12,topix,3038.35,3082.38,3036.87,3066.37,2781770000,OK,kabutan,3066.37,yahoo_jp,3066.37,2026-08-12T14:25:46.765409+09:00
2025-08-13,topix,3083.5,3103.01,3077.11,3091.91,2396540000,OK,kabutan,3091.91,yahoo_jp,3091.91,2026-08-12T14:25:46.765409+09:00
2025-08-14,topix,3078.39,3078.39,3054.31,3057.95,2059620000,OK,kabutan,3057.95,yahoo_jp,3057.95,2026-08-12T14:25:46.765409+09:00
2025-08-15,topix,3074.14,3108.66,3073.45,3107.68,2165440000,OK,kabutan,3107.68,yahoo_jp,3107.68,2026-08-12T14:25:46.765409+09:00
2025-08-18,topix,3110.4,3130.46,3110.4,3120.96,2100880000,OK,kabutan,3120.96,yahoo_jp,3120.96,2026-08-12T14:25:46.765409+09:00
2025-08-19,topix,3128.2,3129.38,3106.23,3116.63,1981520000,OK,kabutan,3116.63,yahoo_jp,3116.63,2026-08-12T14:25:46.765409+09:00
2025-08-20,topix,3113.28,3114.4,3091.88,3098.91,1912030000,OK,kabutan,3098.91,yahoo_jp,3098.91,2026-08-12T14:25:46.765409+09:00
2025-08-21,topix,3094.98,3096.52,3075.81,3082.95,1741880000,OK,kabutan,3082.95,yahoo_jp,3082.95,2026-08-12T14:25:46.765409+09:00
2025-08-22,topix,3090.64,3103.1,3078.2,3100.87,1701440000,OK,kabutan,3100.87,yahoo_jp,3100.87,2026-08-12T14:25:46.765409+09:00
2025-08-25,topix,3120.53,3127.48,3099.13,3105.49,1776570000,OK,kabutan,3105.49,yahoo_jp,3105.49,2026-08-12T14:25:46.765409+09:00
2025-08-26,topix,3094.58,3098.94,3064.4,3071.99,2481550000,OK,kabutan,3071.99,yahoo_jp,3071.99,2026-08-12T14:25:46.765409+09:00
2025-08-27,topix,3073.46,3074.25,3059.91,3069.74,1854630000,OK,kabutan,3069.74,yahoo_jp,3069.74,2026-08-12T14:25:46.765409+09:00
2025-08-28,topix,3060.8,3090.45,3057.34,3089.78,1879240000,OK,kabutan,3089.78,yahoo_jp,3089.78,2026-08-12T14:25:46.765409+09:00
2025-08-29,topix,3082.93,3083.15,3069.08,3075.18,1866700000,OK,kabutan,3075.18,yahoo_jp,3075.18,2026-08-12T14:25:46.765409+09:00
2025-09-01,topix,3060.99,3079.96,3045.82,3063.19,1722070000,OK,kabutan,3063.19,yahoo_jp,3063.19,2026-08-12T14:25:46.765409+09:00
2025-09-02,topix,3070.48,3086.56,3067.66,3081.88,1773390000,OK,kabutan,3081.88,yahoo_jp,3081.88,2026-08-12T14:25:46.765409+09:00
2025-09-03,topix,3073.33,3078.77,3042.59,3048.89,2236100000,OK,kabutan,3048.89,yahoo_jp,3048.89,2026-08-12T14:25:46.765409+09:00
2025-09-04,topix,3057.6,3081.58,3055.64,3080.17,1876890000,OK,kabutan,3080.17,yahoo_jp,3080.17,2026-08-12T14:25:46.765409+09:00
2025-09-05,topix,3100.45,3111.98,3087.02,3105.31,1961990000,OK,kabutan,3105.31,yahoo_jp,3105.31,2026-08-12T14:25:46.765409+09:00
2025-09-08,topix,3124.26,3146.58,3118.61,3138.2,1947930000,OK,kabutan,3138.2,yahoo_jp,3138.2,2026-08-12T14:25:46.765409+09:00
2025-09-09,topix,3150.08,3162.33,3119.1,3122.12,1979770000,OK,kabutan,3122.12,yahoo_jp,3122.12,2026-08-12T14:25:46.765409+09:00
2025-09-10,topix,3120.73,3143.03,3119.75,3140.97,1938650000,OK,kabutan,3140.97,yahoo_jp,3140.97,2026-08-12T14:25:46.765409+09:00
2025-09-11,topix,3135.74,3150.85,3128.75,3147.76,1909290000,OK,kabutan,3147.76,yahoo_jp,3147.76,2026-08-12T14:25:46.765409+09:00
2025-09-12,topix,3164.69,3171.77,3153.55,3160.49,2140140000,OK,kabutan,3160.49,yahoo_jp,3160.49,2026-08-12T14:25:46.765409+09:00
2025-09-16,topix,3167.85,3181.91,3154.79,3168.36,1985450000,OK,kabutan,3168.36,yahoo_jp,3168.36,2026-08-12T14:25:46.765409+09:00
2025-09-17,topix,3154.92,3158.05,3133.95,3145.83,2074000000,OK,kabutan,3145.83,yahoo_jp,3145.83,2026-08-12T14:25:46.765409+09:00
2025-09-18,topix,3154.58,3169.68,3136.78,3158.87,1747990000,OK,kabutan,3158.87,yahoo_jp,3158.87,2026-08-12T14:25:46.765409+09:00
2025-09-19,topix,3170.33,3187.98,3125.73,3147.68,3037500000,OK,kabutan,3147.68,yahoo_jp,3147.68,2026-08-12T14:25:46.765409+09:00
2025-09-22,topix,3154.77,3178.86,3154.77,3163.17,1714310000,OK,kabutan,3163.17,yahoo_jp,3163.17,2026-08-12T14:25:46.765409+09:00
2025-09-24,topix,3165.1,3173.27,3146.63,3170.45,1920950000,OK,kabutan,3170.45,yahoo_jp,3170.45,2026-08-12T14:25:46.765409+09:00
2025-09-25,topix,3184.09,3192.12,3172.13,3185.35,1929280000,OK,kabutan,3185.35,yahoo_jp,3185.35,2026-08-12T14:25:46.765409+09:00
2025-09-26,topix,3182.81,3205.63,3180.48,3187.02,2201810000,OK,kabutan,3187.02,yahoo_jp,3187.02,2026-08-12T14:25:46.765409+09:00
2025-09-29,topix,3158.99,3159.02,3129.99,3131.57,2340980000,OK,kabutan,3131.57,yahoo_jp,3131.57,2026-08-12T14:25:46.765409+09:00
2025-09-30,topix,3133.74,3147.6,3114.96,3137.6,2219500000,OK,kabutan,3137.6,yahoo_jp,3137.6,2026-08-12T14:25:46.765409+09:00
2025-10-01,topix,3122.68,3124.04,3080.93,3094.74,2310820000,OK,kabutan,3094.74,yahoo_jp,3094.74,2026-08-12T14:25:46.765409+09:00
2025-10-02,topix,3094.38,3106.36,3072.2,3087.4,2510650000,OK,kabutan,3087.4,yahoo_jp,3087.4,2026-08-12T14:25:46.765409+09:00
2025-10-03,topix,3093.37,3131.78,3093.37,3129.17,2300100000,OK,kabutan,3129.17,yahoo_jp,3129.17,2026-08-12T14:25:46.765409+09:00
2025-10-06,topix,3175.83,3237.66,3170.16,3226.06,3030590000,OK,kabutan,3226.06,yahoo_jp,3226.06,2026-08-12T14:25:46.765409+09:00
2025-10-07,topix,3238.6,3248.39,3224.09,3227.91,2508520000,OK,kabutan,3227.91,yahoo_jp,3227.91,2026-08-12T14:25:46.765409+09:00
2025-10-08,topix,3240.94,3264.29,3231.94,3235.66,2218740000,OK,kabutan,3235.66,yahoo_jp,3235.66,2026-08-12T14:25:46.765409+09:00
2025-10-09,topix,3248.35,3257.77,3242.51,3257.77,2449780000,OK,kabutan,3257.77,yahoo_jp,3257.77,2026-08-12T14:25:46.765409+09:00
2025-10-10,topix,3238.58,3238.58,3192.34,3197.59,2497300000,OK,kabutan,3197.59,yahoo_jp,3197.59,2026-08-12T14:25:46.765409+09:00
2025-10-14,topix,3151.58,3180.11,3115.1,3133.99,2815710000,OK,kabutan,3133.99,yahoo_jp,3133.99,2026-08-12T14:25:46.765409+09:00
2025-10-15,topix,3153.43,3186.72,3151.67,3183.64,2053770000,OK,kabutan,3183.64,yahoo_jp,3183.64,2026-08-12T14:25:46.765409+09:00
2025-10-16,topix,3205.75,3216.29,3190.72,3203.42,2087030000,OK,kabutan,3203.42,yahoo_jp,3203.42,2026-08-12T14:25:46.765409+09:00
2025-10-17,topix,3179.41,3196.31,3166.7,3170.44,2093470000,OK,kabutan,3170.44,yahoo_jp,3170.44,2026-08-12T14:25:46.765409+09:00
2025-10-20,topix,3215.18,3248.45,3207.86,3248.45,1794050000,OK,kabutan,3248.45,yahoo_jp,3248.45,2026-08-12T14:25:46.765409+09:00
2025-10-21,topix,3264.84,3274.06,3243.42,3249.5,2240270000,OK,kabutan,3249.5,yahoo_jp,3249.5,2026-08-12T14:25:46.765409+09:00
2025-10-22,topix,3252.52,3274.94,3239.88,3266.43,2337330000,OK,kabutan,3266.43,yahoo_jp,3266.43,2026-08-12T14:25:46.765409+09:00
2025-10-23,topix,3247.9,3256.41,3233.86,3253.78,2092770000,OK,kabutan,3253.78,yahoo_jp,3253.78,2026-08-12T14:25:46.765409+09:00
2025-10-24,topix,3271.06,3279.82,3256.89,3269.45,2112700000,OK,kabutan,3269.45,yahoo_jp,3269.45,2026-08-12T14:25:46.765409+09:00
2025-10-27,topix,3304.4,3328.93,3299.67,3325.05,1927470000,OK,kabutan,3325.05,yahoo_jp,3325.05,2026-08-12T14:25:46.765409+09:00
2025-10-28,topix,3317.54,3317.55,3283.35,3285.87,2292920000,OK,kabutan,3285.87,yahoo_jp,3285.87,2026-08-12T14:25:46.765409+09:00
2025-10-29,topix,3291.26,3294.03,3275.11,3278.24,2357450000,OK,kabutan,3278.24,yahoo_jp,3278.24,2026-08-12T14:25:46.765409+09:00
2025-10-30,topix,3278.29,3306.52,3273.37,3300.79,3741420000,OK,kabutan,3300.79,yahoo_jp,3300.79,2026-08-12T14:25:46.765409+09:00
2025-10-31,topix,3316.47,3348.06,3309.07,3331.83,2885240000,OK,kabutan,3331.83,yahoo_jp,3331.83,2026-08-12T14:25:46.765409+09:00
2025-11-04,topix,3327.11,3352.79,3310.04,3310.14,3057380000,OK,kabutan,3310.14,yahoo_jp,3310.14,2026-08-12T14:25:46.765409+09:00
2025-11-05,topix,3300.06,3303.2,3200.08,3268.29,3442870000,OK,kabutan,3268.29,yahoo_jp,3268.29,2026-08-12T14:25:46.765409+09:00
2025-11-06,topix,3291.13,3323.35,3291.13,3313.45,2813470000,OK,kabutan,3313.45,yahoo_jp,3313.45,2026-08-12T14:25:46.765409+09:00
2025-11-07,topix,3295.08,3304.89,3268.97,3298.85,2552100000,OK,kabutan,3298.85,yahoo_jp,3298.85,2026-08-12T14:25:46.765409+09:00
2025-11-10,topix,3317.79,3320.56,3303.17,3317.42,2416050000,OK,kabutan,3317.42,yahoo_jp,3317.42,2026-08-12T14:25:46.765409+09:00
2025-11-11,topix,3336.44,3343.69,3309.7,3321.58,2427970000,OK,kabutan,3321.58,yahoo_jp,3321.58,2026-08-12T14:25:46.765409+09:00
2025-11-12,topix,3336.78,3362.43,3333.11,3359.33,2784710000,OK,kabutan,3359.33,yahoo_jp,3359.33,2026-08-12T14:25:46.765409+09:00
2025-11-13,topix,3368.09,3389.12,3367.39,3381.72,2466490000,OK,kabutan,3381.72,yahoo_jp,3381.72,2026-08-12T14:25:46.765409+09:00
2025-11-14,topix,3349.89,3364.56,3341.85,3359.81,2544620000,OK,kabutan,3359.81,yahoo_jp,3359.81,2026-08-12T14:25:46.765409+09:00
2025-11-17,topix,3350.03,3353.53,3331.38,3347.53,2385470000,OK,kabutan,3347.53,yahoo_jp,3347.53,2026-08-12T14:25:46.765409+09:00
2025-11-18,topix,3321.56,3330.38,3251.1,3251.1,2433560000,OK,kabutan,3251.1,yahoo_jp,3251.1,2026-08-12T14:25:46.765409+09:00
2025-11-19,topix,3260.97,3275.82,3227.46,3245.58,2469060000,OK,kabutan,3245.58,yahoo_jp,3245.58,2026-08-12T14:25:46.765409+09:00
2025-11-20,topix,3282.2,3333.46,3281.28,3299.57,2422500000,OK,kabutan,3299.57,yahoo_jp,3299.57,2026-08-12T14:25:46.765409+09:00
2025-11-21,topix,3273.43,3308.22,3265.7,3297.73,3372170000,OK,kabutan,3297.73,yahoo_jp,3297.73,2026-08-12T14:25:46.765409+09:00
2025-11-25,topix,3318.22,3322.02,3279.9,3290.89,2458590000,OK,kabutan,3290.89,yahoo_jp,3290.89,2026-08-12T14:25:46.765409+09:00
2025-11-26,topix,3314.04,3360.5,3313.26,3355.5,2321670000,OK,kabutan,3355.5,yahoo_jp,3355.5,2026-08-12T14:25:46.765409+09:00
2025-11-27,topix,3367.22,3381.74,3365.26,3368.57,1901860000,OK,kabutan,3368.57,yahoo_jp,3368.57,2026-08-12T14:25:46.765409+09:00
2025-11-28,topix,3366.66,3381.42,3363.05,3378.44,1896770000,OK,kabutan,3378.44,yahoo_jp,3378.44,2026-08-12T14:25:46.765409+09:00
2025-12-01,topix,3380.02,3383.23,3335.08,3338.33,2167990000,OK,kabutan,3338.33,yahoo_jp,3338.33,2026-08-12T14:25:46.765409+09:00
2025-12-02,topix,3349.16,3357.33,3334.4,3341.06,2138710000,OK,kabutan,3341.06,yahoo_jp,3341.06,2026-08-12T14:25:46.765409+09:00
2025-12-03,topix,3343.39,3349.62,3327.02,3334.32,2116270000,OK,kabutan,3334.32,yahoo_jp,3334.32,2026-08-12T14:25:46.765409+09:00
2025-12-04,topix,3340.71,3400.28,3337.96,3398.21,2182940000,OK,kabutan,3398.21,yahoo_jp,3398.21,2026-08-12T14:25:46.765409+09:00
2025-12-05,topix,3370.81,3375.94,3349.03,3362.56,2089220000,OK,kabutan,3362.56,yahoo_jp,3362.56,2026-08-12T14:25:46.765409+09:00
2025-12-08,topix,3369.21,3385.27,3355.45,3384.31,1954040000,OK,kabutan,3384.31,yahoo_jp,3384.31,2026-08-12T14:25:46.765409+09:00
2025-12-09,topix,3390.64,3397.46,3377.41,3384.92,2045090000,OK,kabutan,3384.92,yahoo_jp,3384.92,2026-08-12T14:25:46.765409+09:00
2025-12-10,topix,3394.27,3408.99,3376.4,3389.02,2249430000,OK,kabutan,3389.02,yahoo_jp,3389.02,2026-08-12T14:25:46.765409+09:00
2025-12-11,topix,3408.63,3410.97,3352.13,3357.24,2009330000,OK,kabutan,3357.24,yahoo_jp,3357.24,2026-08-12T14:25:46.765409+09:00
2025-12-12,topix,3389.62,3428.34,3388.87,3423.83,2235050000,OK,kabutan,3423.83,yahoo_jp,3423.83,2026-08-12T14:25:46.765409+09:00
2025-12-15,topix,3413.11,3434.6,3409.34,3431.47,2264730000,OK,kabutan,3431.47,yahoo_jp,3431.47,2026-08-12T14:25:46.765409+09:00
2025-12-16,topix,3427.94,3427.94,3370.5,3370.5,2243650000,OK,kabutan,3370.5,yahoo_jp,3370.5,2026-08-12T14:25:46.765409+09:00
2025-12-17,topix,3366.24,3374.03,3343.88,3369.39,2181970000,OK,kabutan,3369.39,yahoo_jp,3369.39,2026-08-12T14:25:46.765409+09:00
2025-12-18,topix,3354.6,3367.08,3341.8,3356.89,2093420000,OK,kabutan,3356.89,yahoo_jp,3356.89,2026-08-12T14:25:46.765409+09:00
